accDecay,costAccessRatio,deltaU0,deltaU1,indivMigrations,jobDistance0,jobDistance1,migration0,migration1,moveAversion,wealth,wealthGain,wealthSigma
6.0,1000000.0,0.0,-8.521794987859547,2.4516129032258065,0.0,32.953282235053244,0.0,152.0,6000000.0,1569628.0984602354,179242.85698398043,0.1
2.0,1000000.0,0.0,-7.767092364084181,2.4285714285714284,0.0,32.976306808739494,0.0,153.0,1000000.0,1467736.3228858942,106358.50806581618,0.1
6.0,1000000.0,0.0,-6.118741884534106,2.5,0.0,28.403493530537904,0.0,165.0,1000000.0,1614105.3631751088,158259.8386218212,0.1
6.0,1000000.0,0.0,-10.413299404605436,2.5090909090909093,0.0,30.674443518216776,0.0,138.0,6000000.0,1365560.7631510354,147146.8436310679,0.1
2.0,1000000.0,0.0,-12.237751883368558,2.5,0.0,27.293043364648874,0.0,165.0,6000000.0,1554301.1041123038,113973.89192172937,0.1
10.0,1000000.0,0.0,-8.459867637272572,2.435483870967742,0.0,24.994715364276978,0.0,151.0,1000000.0,1553970.139062427,186062.79758568414,0.1
6.0,1000000.0,0.0,-7.887652254593456,2.5166666666666666,0.0,27.770634994939154,0.0,151.0,6000000.0,1517478.1138235573,183947.8869771146,0.1
2.0,1000000.0,0.0,-12.555128385848235,2.5166666666666666,0.0,30.101683559962193,0.0,151.0,1000000.0,1467506.9573814343,134833.62188703372,0.1
2.0,1000000.0,0.0,-8.022278181335952,2.5166666666666666,0.0,29.830438175718868,0.0,151.0,6000000.0,1416660.613926539,110242.41628535764,0.1
2.0,1000000.0,0.0,-7.844230814754142,2.5454545454545454,0.0,27.84367111187788,0.0,168.0,6000000.0,1642516.3452241744,163689.6552024155,0.1
6.0,1000000.0,0.0,-9.164724483359535,2.459016393442623,0.0,27.43713504347051,0.0,150.0,6000000.0,1564044.0758873564,185803.83963109454,0.1
2.0,1000000.0,0.0,-13.57305036771677,2.5,0.0,30.591540178369073,0.0,150.0,6000000.0,1450055.2724064232,112372.56603530925,0.1
10.0,1000000.0,0.0,-7.756138674161711,2.4444444444444446,0.0,28.70548213640072,0.0,154.0,1000000.0,1577843.0153989417,213856.0147130035,0.1
2.0,1000000.0,0.0,-4.285402368207281,2.533333333333333,0.0,32.75046833288561,0.0,152.0,1000000.0,1432289.3936251542,119259.99662829324,0.1
2.0,1000000.0,0.0,-9.09450969539186,2.4754098360655736,0.0,29.383310920488018,0.0,151.0,6000000.0,1457537.3598943918,83215.12760275531,0.1
6.0,1000000.0,0.0,-8.34371032012662,2.4375,0.0,29.01709814854836,0.0,156.0,1000000.0,1582809.4516137464,193073.02540786273,0.1
6.0,1000000.0,0.0,-8.228368396161843,2.5,0.0,31.372664261992703,0.0,150.0,1000000.0,1529319.6939853218,205515.66403034475,0.1
2.0,1000000.0,0.0,-7.644472719290545,2.4754098360655736,0.0,24.910873445786567,0.0,151.0,1000000.0,1508473.6822016493,157725.0431427745,0.1
6.0,1000000.0,0.0,-13.721170181556012,2.476923076923077,0.0,25.30415342359566,0.0,161.0,1000000.0,1534013.4709750263,87100.36911572867,0.1
2.0,1000000.0,0.0,-10.403537907170456,2.515151515151515,0.0,28.76834343841348,0.0,166.0,1000000.0,1617826.9073787278,141947.55317404098,0.1
10.0,1000000.0,0.0,-9.241429033508377,2.515151515151515,0.0,31.375388456228812,0.0,166.0,1000000.0,1684235.5449801867,213233.38324783486,0.1
6.0,1000000.0,0.0,-6.209373854845048,2.5,0.0,31.477568863255193,0.0,135.0,1000000.0,1278580.7258394945,101749.86005020031,0.1
2.0,1000000.0,0.0,-4.531583526440615,2.4375,0.0,27.31756649625558,0.0,156.0,1000000.0,1596371.7430528118,206756.04469375708,0.1
10.0,1000000.0,0.0,-8.354799587317027,2.5,0.0,33.86499480276521,0.0,150.0,1000000.0,1447946.164760258,109678.59373806513,0.1
2.0,1000000.0,0.0,-5.749130872005731,2.4444444444444446,0.0,28.003341642818647,0.0,154.0,1000000.0,1580993.9675297795,130252.57044862179,0.1
10.0,1000000.0,0.0,-10.31828845841323,2.5,0.0,27.298141790909597,0.0,165.0,1000000.0,1648940.363037093,173371.24255963127,0.1
10.0,1000000.0,0.0,-7.117574124962171,2.459016393442623,0.0,29.653816562830325,0.0,150.0,1000000.0,1427163.053199355,127404.44395132599,0.1
6.0,1000000.0,0.0,-11.631071816729367,2.5606060606060606,0.0,24.98469927432615,0.0,169.0,6000000.0,1633699.9943012437,180957.57023277332,0.1
6.0,1000000.0,0.0,-10.407733852870408,2.5,0.0,27.880914554514113,0.0,150.0,6000000.0,1432097.3234028483,128441.91015991553,0.1
2.0,1000000.0,0.0,-4.920816252686668,2.5,0.0,27.26672270381558,0.0,150.0,6000000.0,1492206.853187563,173870.6368302022,0.1
10.0,1000000.0,0.0,-5.47837304730806,2.467741935483871,0.0,30.0389933145132,0.0,153.0,1000000.0,1555198.8964901697,182554.08926418753,0.1
2.0,1000000.0,0.0,-4.851214972298399,2.4516129032258065,0.0,29.596959574909928,0.0,152.0,6000000.0,1548628.26808383,161102.24341212615,0.1
6.0,1000000.0,0.0,-10.229350091194101,2.533333333333333,0.0,30.28018330196948,0.0,152.0,1000000.0,1397340.0091598935,96902.30955054171,0.1
6.0,1000000.0,0.0,-8.34088973842707,2.4516129032258065,0.0,32.49605340673106,0.0,152.0,6000000.0,1579914.2964697892,194507.0090869062,0.1
2.0,1000000.0,0.0,-15.40847074634004,2.4754098360655736,0.0,26.563674949011936,0.0,151.0,6000000.0,1560069.6227526297,230080.72345373503,0.1
10.0,1000000.0,0.0,-8.552205829372065,2.5,0.0,27.342282108578004,0.0,165.0,1000000.0,1638750.9117279146,170918.348178193,0.1
2.0,1000000.0,0.0,-6.212554435763334,2.5,0.0,31.711656739218498,0.0,150.0,1000000.0,1557487.7974260645,263218.30372852733,0.1
6.0,1000000.0,0.0,-8.120204356563162,2.4285714285714284,0.0,29.955217543306052,0.0,153.0,1000000.0,1542906.9843823682,151560.7284895521,0.1
6.0,1000000.0,0.0,-8.186914683710087,2.4444444444444446,0.0,32.262109355189956,0.0,154.0,1000000.0,1552309.5877097424,189218.61355893104,0.1
6.0,1000000.0,0.0,-12.447799354949284,2.5303030303030303,0.0,27.732966657401356,0.0,167.0,6000000.0,1669042.4375861725,208164.47163940762,0.1
10.0,1.0E7,0.0,-9.82641234519291,2.5166666666666666,0.0,26.58603475878983,0.0,151.0,6000000.0,2016039.303193455,159830.66204109968,0.9999999999999999
10.0,1.0E7,0.0,-10.302130137697871,2.453125,0.0,26.273996554788784,0.0,157.0,6000000.0,2683481.5980246803,131994.52810055422,0.9999999999999999
10.0,1.0E7,0.0,-7.684961235170512,2.5166666666666666,0.0,29.785139870342338,0.0,151.0,6000000.0,2541658.041953522,379790.43722592836,0.9999999999999999
10.0,1.0E7,0.0,-11.181794671698924,2.43859649122807,0.0,32.25183858068657,0.0,139.0,6000000.0,1821449.378658042,142675.5034596456,0.9999999999999999
10.0,1.0E7,0.0,-11.262425252928153,2.4754098360655736,0.0,25.969779820260133,0.0,151.0,6000000.0,1881636.3007960226,122914.33297000523,0.9999999999999999
10.0,1.0E7,0.0,-9.515563993326309,2.5166666666666666,0.0,28.46044370754568,0.0,151.0,6000000.0,2324333.7059308104,242173.2342701909,0.9999999999999999
10.0,1.0E7,0.0,-8.329672230954262,2.5166666666666666,0.0,29.20682092951732,0.0,151.0,1000000.0,2284795.831765336,147534.1863783903,0.9999999999999999
10.0,1.0E7,0.0,-6.6853460682504435,2.5166666666666666,0.0,26.42988461900352,0.0,151.0,1000000.0,2200546.227179845,174372.94312573405,0.9999999999999999
10.0,1.0E7,0.0,-10.846381429279823,2.5,0.0,27.487291831022997,0.0,165.0,6000000.0,2817941.9613962863,238648.66348906193,0.9999999999999999
10.0,1.0E7,0.0,-10.60477636626233,2.4833333333333334,0.0,28.74248016357271,0.0,149.0,1000000.0,1707907.3314352739,131768.51357781794,0.9999999999999999
