accDecay,costAccessRatio,deltaU0,deltaU1,indivMigrations,jobDistance0,jobDistance1,migration0,migration1,moveAversion,wealth,wealthGain,wealthSigma
2.0,1000000.0,0.0,-6.132313781622317,2.4375,0.0,27.15010592269139,0.0,156.0,1000000.0,1511140.5679169742,103377.10170077621,0.1
6.0,1000000.0,0.0,-8.371370018402214,2.5166666666666666,0.0,30.084063526354097,0.0,151.0,6000000.0,1461720.9373596387,139988.08786668646,0.1
6.0,1000000.0,0.0,-7.762045531610091,2.5166666666666666,0.0,29.263741353463296,0.0,151.0,1000000.0,1494720.0072332865,205329.82162203005,0.1
2.0,1000000.0,0.0,-10.769640532819212,2.55,0.0,30.337194711469742,0.0,153.0,6000000.0,1435864.6454482644,116913.52017207666,0.1
6.0,1000000.0,0.0,-7.9397467315410815,2.4727272727272727,0.0,30.021692187425025,0.0,136.0,6000000.0,1387851.5202421935,157721.987109253,0.1
2.0,1000000.0,0.0,-10.170723505290969,2.4754098360655736,0.0,27.99769650524861,0.0,151.0,1000000.0,1505553.633622206,172183.02978392408,0.1
6.0,1000000.0,0.0,-9.958063111964393,2.5166666666666666,0.0,31.867199558493443,0.0,151.0,1000000.0,1531520.5490030285,177883.55301884955,0.1
10.0,1000000.0,0.0,-9.670977172995554,2.5303030303030303,0.0,31.829480129497398,0.0,167.0,1000000.0,1618236.2547440457,160042.75487500237,0.1
2.0,1000000.0,0.0,-10.65455241555832,2.5,0.0,28.317518631358812,0.0,165.0,6000000.0,1605865.707794621,151221.11825616393,0.1
2.0,1000000.0,0.0,-4.662436134407695,2.5166666666666666,0.0,30.416706555025918,0.0,151.0,1000000.0,1466381.0430846692,133491.928923842,0.1
2.0,1000000.0,0.0,-7.511799626436989,2.4745762711864407,0.0,29.036980391231218,0.0,146.0,6000000.0,1425441.328605812,143508.490830575,0.1
2.0,1000000.0,0.0,-8.3498882757533,2.5,0.0,29.702727809272947,0.0,150.0,6000000.0,1424646.0382162186,94095.01225223324,0.1
6.0,1000000.0,0.0,-10.647222701265788,2.5,0.0,31.11524378417508,0.0,165.0,6000000.0,1599041.021397385,172165.38502223635,0.1
10.0,1000000.0,0.0,-8.298038147635413,2.5166666666666666,0.0,30.102792488758787,0.0,151.0,1000000.0,1559047.9506584317,222032.88555255896,0.1
2.0,1000000.0,0.0,-12.000304793586714,2.533333333333333,0.0,29.056146759725745,0.0,152.0,1000000.0,1529392.0965642128,226036.039045435,0.1
2.0,1000000.0,0.0,-8.899097289654003,2.5,0.0,29.52956013544423,0.0,165.0,1000000.0,1620392.592866436,166273.59471980899,0.1
6.0,1000000.0,0.0,-7.537336382814967,2.457627118644068,0.0,30.299255277274604,0.0,145.0,6000000.0,1540578.357723177,244195.9350953539,0.1
6.0,1000000.0,0.0,-8.376313836564604,2.5,0.0,34.43818226116843,0.0,150.0,1000000.0,1475952.4127389602,167903.6892293529,0.1
2.0,1000000.0,0.0,-5.5607091380422,2.46875,0.0,33.16654956953474,0.0,158.0,1000000.0,1571316.200786876,131675.26555619182,0.1
6.0,1000000.0,0.0,-9.359391551674394,2.5,0.0,26.102619314993927,0.0,165.0,6000000.0,1617689.4494107717,164802.12859757172,0.1
10.0,1000000.0,0.0,-9.414239248674042,2.476923076923077,0.0,30.82281423034409,0.0,161.0,1000000.0,1584342.5223525884,173045.2510737932,0.1
2.0,1000000.0,0.0,-10.833114068071168,2.5,0.0,26.096514814497198,0.0,150.0,6000000.0,1408806.7088102342,61519.11813840252,0.1
10.0,1000000.0,0.0,-7.120394930350472,2.5166666666666666,0.0,26.706698735317563,0.0,151.0,1000000.0,1526717.974278157,180469.03423071504,0.1
2.0,1000000.0,0.0,-12.54420275076859,2.4615384615384617,0.0,28.543635651081217,0.0,160.0,6000000.0,1614648.6388399238,164414.63295198503,0.1
