accDecay,costAccessRatio,deltaU0,deltaU1,indivMigrations,jobDistance0,jobDistance1,migration0,migration1,moveAversion,wealth,wealthGain,wealthSigma
7.0,1000000.0,null,null,null,null,null,null,null,7000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,7000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,7000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,7000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,7000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,5000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
7.0,1000000.0,null,null,null,null,null,null,null,3000000.0,null,null,0.30000000000000004
